"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

1977,0,1977,0,1977,0,1977,0,1977,267952,1977,55167,1977,20812,1977,61,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,74209,1977,91398,1977,526,1977,58522
1976,0,1976,0,1976,0,1976,0,1976,299209,1976,58632,1976,33937,1976,85,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,69291,1976,78341,1976,473,1976,52757
1975,0,1975,0,1975,0,1975,0,1975,294729,1975,73417,1975,34806,1975,77,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,60171,1975,66411,1975,456,1975,46222
1974,0,1974,0,1974,0,1974,0,1974,300864,1974,71948,1974,28501,1974,101,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,62124,1974,67660,1974,421,1974,48306
1973,0,1973,0,1973,0,1973,0,1973,305067,1973,73898,1973,24749,1973,86,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,59618,1973,68892,1973,386,1973,46520
1972,0,1972,0,1972,0,1972,0,1972,288472,1972,66816,1972,32122,1972,92,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,59513,1972,68940,1972,386,1972,44848
1971,0,1971,0,1971,0,1971,0,1971,266456,1971,62001,1971,33900,1971,93,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,60153,1971,66148,1971,386,1971,43427
1970,0,1970,0,1970,0,1970,0,1970,262884,1970,45896,1970,29536,1970,78,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,62607,1970,65900,1970,386,1970,44071
1969,0,1969,0,1969,0,1969,0,1969,278145,1969,51767,1969,30703,1969,88,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,61503,1969,67728,1969,368,1969,44378
1968,0,1968,0,1968,0,1968,0,1968,260179,1968,49104,1968,25989,1968,87,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,60128,1968,68041,1968,351,1968,43378
1967,0,1967,0,1967,0,1967,0,1967,244545,1967,52532,1967,28905,1967,106,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,57118,1967,66084,1967,351,1967,39563
1966,0,1966,0,1966,0,1966,0,1966,229856,1966,45605,1966,20088,1966,101,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,58726,1966,68730,1966,333,1966,41431
1965,0,1965,0,1965,0,1965,0,1965,204632,1965,56294,1965,26105,1965,111,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,58111,1965,67314,1965,333,1965,38609
1964,0,1964,0,1964,0,1964,0,1964,190456,1964,62661,1964,19646,1964,102,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,56954,1964,69084,1964,368,1964,37909
1963,0,1963,0,1963,0,1963,0,1963,202901,1963,45736,1963,15547,1963,87,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,57158,1963,70745,1963,368,1963,38085
1962,0,1962,0,1962,0,1962,0,1962,220654,1962,57979,1962,13651,1962,180,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,57324,1962,69423,1962,403,1962,36803
1961,0,1961,0,1961,0,1961,0,1961,193379,1961,50281,1961,14982,1961,221,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,57453,1961,70411,1961,438,1961,36193
1960,0,1960,0,1960,0,1960,0,1960,130051,1960,53782,1960,11407,1960,210,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,59263,1960,73725,1960,473,1960,36755
