"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

1973,0,1973,0,1973,0,1973,0,1973,50250,1973,40597,1973,118976,1973,17663,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,1284,1973,43286,1973,58909,1973,60439
1972,0,1972,0,1972,0,1972,0,1972,77141,1972,34744,1972,115536,1972,8615,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,1198,1972,42334,1972,57566,1972,58945
1971,0,1971,0,1971,0,1971,0,1971,81497,1971,36515,1971,98699,1971,9220,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,1061,1971,42053,1971,54391,1971,51251
1970,0,1970,0,1970,0,1970,0,1970,69037,1970,24064,1970,84656,1970,10550,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,1147,1970,41000,1970,53761,1970,52207
1969,0,1969,0,1969,0,1969,0,1969,66340,1969,32273,1969,78115,1969,13279,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,1079,1969,40978,1969,53800,1969,51073
1968,0,1968,0,1968,0,1968,0,1968,58692,1968,28098,1968,80288,1968,13790,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,1166,1968,41283,1968,51733,1968,49149
1967,0,1967,0,1967,0,1967,0,1967,51427,1967,27688,1967,100437,1967,6043,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,1150,1967,38488,1967,46860,1967,43901
1966,0,1966,0,1966,0,1966,0,1966,50500,1966,27188,1966,79494,1966,8195,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,1064,1966,40510,1966,49135,1966,43785
1965,0,1965,0,1965,0,1965,0,1965,40479,1965,36758,1965,91464,1965,7771,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,1117,1965,40588,1965,46541,1965,41196
1964,0,1964,0,1964,0,1964,0,1964,32372,1964,45563,1964,95169,1964,4748,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,1273,1964,41995,1964,46394,1964,39136
1963,0,1963,0,1963,0,1963,0,1963,30493,1963,28027,1963,80947,1963,5009,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,1291,1963,41805,1963,46082,1963,37709
1962,0,1962,0,1962,0,1962,0,1962,15855,1962,32377,1962,101734,1962,8446,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,1396,1962,41078,1962,43391,1962,39275
1961,0,1961,0,1961,0,1961,0,1961,12160,1961,34488,1961,93175,1961,13143,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,1449,1961,41795,1961,43478,1961,38880
1960,0,1960,0,1960,0,1960,0,1960,12437,1960,38849,1960,93352,1960,11859,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,1537,1960,43120,1960,45355,1960,38296
