"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

1976,0,1976,0,1976,0,1976,0,1976,54,1976,32766,1976,0,1976,32095,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,6472,1976,35344,1976,45170,1976,38004
1975,0,1975,0,1975,0,1975,0,1975,48,1975,36035,1975,0,1975,27719,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,5763,1975,30821,1975,42358,1975,32705
1974,0,1974,0,1974,0,1974,0,1974,70,1974,35482,1974,0,1974,30399,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,5846,1974,31187,1974,44928,1974,33864
1973,0,1973,0,1973,0,1973,0,1973,32,1973,39719,1973,0,1973,32157,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,5999,1973,27910,1973,45748,1973,32490
1972,0,1972,0,1972,0,1972,0,1972,48,1972,39127,1972,0,1972,27560,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,5654,1972,27438,1972,44819,1972,32322
1971,0,1971,0,1971,0,1971,0,1971,75,1971,37053,1971,0,1971,25807,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,3866,1971,24859,1971,41912,1971,29616
1970,0,1970,0,1970,0,1970,0,1970,71,1970,33303,1970,0,1970,29942,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,3659,1970,23719,1970,41620,1970,29478
1969,0,1969,0,1969,0,1969,0,1969,67,1969,27974,1969,0,1969,28873,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,3214,1969,23353,1969,40698,1969,32785
1968,0,1968,0,1968,0,1968,0,1968,106,1968,30430,1968,0,1968,27147,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,3353,1968,22928,1968,40791,1968,32693
1967,0,1967,0,1967,0,1967,0,1967,97,1967,38563,1967,0,1967,26702,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,3252,1967,22511,1967,37685,1967,31635
1966,0,1966,0,1966,0,1966,0,1966,138,1966,26718,1966,0,1966,25207,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,3391,1966,22592,1966,39754,1966,30605
1965,0,1965,0,1965,0,1965,0,1965,140,1965,25760,1965,0,1965,21625,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,3358,1965,21678,1965,38299,1965,30050
1964,0,1964,0,1964,0,1964,0,1964,140,1964,25262,1964,0,1964,25860,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,3534,1964,21760,1964,39291,1964,30076
1963,0,1963,0,1963,0,1963,0,1963,174,1963,24399,1963,0,1963,29873,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,3624,1963,23192,1963,39147,1963,29001
1962,0,1962,0,1962,0,1962,0,1962,162,1962,29293,1962,0,1962,26679,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,3508,1962,22130,1962,36785,1962,28994
1961,0,1961,0,1961,0,1961,0,1961,171,1961,27109,1961,0,1961,27731,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,3684,1961,21538,1961,37174,1961,28844
1960,0,1960,0,1960,0,1960,0,1960,211,1960,28333,1960,0,1960,30607,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,3912,1960,22418,1960,38992,1960,29178
