Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

1977,37981,1977,1505717,1977,36230,1977,819170,1977,97331,1977,361105,1977,16136,1977,556876,1977,18381,1977,256716,1977,31271,1977,230352,1977,38510,1977,2005608,1977,7328,1977,473306,1977,342161,1977,4195220,1977,146565,1977,1633866,1977,21338,1977,210359,1977,58582,1977,4198403
1976,39537,1976,1471585,1976,34819,1976,778923,1976,135822,1976,365130,1976,16378,1976,554831,1976,17457,1976,250239,1976,31050,1976,226976,1976,35091,1976,2070578,1976,6781,1976,508860,1976,368500,1976,4224994,1976,136973,1976,1558503,1976,34411,1976,210442,1976,52843,1976,4208900
1975,40414,1975,1412553,1975,31152,1975,771990,1975,112007,1975,345409,1975,15399,1975,525658,1975,18827,1975,238093,1975,25853,1975,201882,1975,30950,1975,1883779,1975,6002,1975,459396,1975,354900,1975,3925249,1975,139828,1975,1458782,1975,35262,1975,206515,1975,46299,1975,3979902
1974,44031,1974,1399043,1974,31279,1974,817314,1974,106573,1974,351944,1974,16161,1974,518540,1974,17762,1974,233766,1974,28694,1974,206500,1974,33097,1974,1981582,1974,4919,1974,476488,1974,362988,1974,4128073,1974,139607,1974,1501847,1974,28922,1974,204358,1974,48408,1974,4198106
1973,43807,1973,1418725,1973,32195,1973,847974,1973,84637,1973,347660,1973,16912,1973,522129,1973,18356,1973,233459,1973,30671,1973,216617,1973,30289,1973,2122047,1973,4896,1973,477784,1973,364685,1973,4419080,1973,142789,1973,1551096,1973,25135,1973,202197,1973,46607,1973,4218370
1972,29355,1972,1383498,1972,32432,1972,830744,1972,104348,1972,342383,1972,16822,1972,509525,1972,17274,1972,217655,1972,26131,1972,212305,1972,29554,1972,2079998,1972,4746,1972,501736,1972,347985,1972,4269847,1972,135756,1972,1480269,1972,32507,1972,203742,1972,44940,1972,4125705
1971,30407,1971,1326842,1971,32841,1971,786107,1971,107251,1971,333934,1971,15845,1971,496173,1971,18651,1971,201661,1971,24733,1971,201058,1971,26621,1971,1970817,1971,4965,1971,469511,1971,326609,1971,4251263,1971,128148,1971,1403918,1971,34285,1971,195302,1971,43520,1971,3871518
1970,33344,1970,1309269,1970,33527,1970,746912,1970,98397,1970,322784,1970,15950,1970,487481,1970,18322,1970,190122,1970,25321,1970,186601,1970,25906,1970,1977939,1970,5548,1970,458694,1970,325491,1970,4303439,1970,111796,1970,1342676,1970,29922,1970,191117,1970,44149,1970,3932645
1969,39601,1969,1265602,1969,34609,1969,684793,1969,106143,1969,314298,1969,14532,1969,455912,1969,18771,1969,176999,1969,27816,1969,176217,1969,25354,1969,1896202,1969,5682,1969,429135,1969,339647,1969,4200652,1969,119495,1969,1281029,1969,31071,1969,192560,1969,44467,1969,3856077
1968,39086,1968,1211237,1968,35452,1968,645521,1968,100651,1968,280467,1968,14714,1968,422750,1968,19142,1968,163400,1968,25155,1968,159459,1968,24678,1968,1841016,1968,5706,1968,436306,1968,320307,1968,4052442,1968,117146,1968,1211104,1968,26339,1968,191968,1968,43465,1968,3710053
1967,31558,1967,1132505,1967,34261,1967,579960,1967,98163,1967,260368,1967,13879,1967,385223,1967,18985,1967,150718,1967,24089,1967,149526,1967,23695,1967,1768292,1967,5678,1967,407731,1967,301664,1967,3955831,1967,118616,1967,1137963,1967,29255,1967,185106,1967,39669,1967,3543981
1966,33010,1966,1102147,1966,37816,1966,566410,1966,90332,1966,275598,1966,13955,1966,389146,1966,19632,1966,144957,1966,24343,1966,144764,1966,23570,1966,1667786,1966,6210,1966,375974,1966,288582,1966,3867170,1966,114335,1966,1089558,1966,20421,1966,180786,1966,41531,1966,3539868
1965,35404,1965,1043038,1965,37759,1965,511644,1965,95505,1965,258824,1965,13563,1965,348616,1965,17544,1965,130174,1965,22019,1965,131247,1965,23693,1965,1569751,1965,6075,1965,353197,1965,262743,1965,3664673,1965,123608,1965,1000435,1965,26438,1965,169405,1965,38720,1965,3369016
1964,31229,1964,989314,1964,38448,1964,513324,1964,79375,1964,263813,1964,12801,1964,347076,1964,17842,1964,133731,1964,23707,1964,133091,1964,23947,1964,1538414,1964,6300,1964,365774,1964,247409,1964,3382126,1964,131745,1964,967053,1964,20014,1964,172006,1964,38010,1964,3215365
1963,33299,1963,954239,1963,39154,1963,473278,1963,70429,1963,252510,1963,13199,1963,334977,1963,19804,1963,123243,1963,24450,1963,133691,1963,23397,1963,1501224,1963,6469,1963,370467,1963,260059,1963,3305923,1963,116481,1963,930073,1963,15915,1963,170619,1963,38172,1963,3113988
1962,40239,1962,939806,1962,44673,1962,438300,1962,74894,1962,248275,1962,12973,1962,327421,1962,21733,1962,112985,1962,25119,1962,128225,1962,21199,1962,1460847,1962,6791,1962,376092,1962,277979,1962,3238540,1962,127402,1962,902745,1962,14054,1962,164872,1962,36983,1962,3036395
1961,45068,1961,898673,1961,45532,1961,411387,1961,76550,1961,241691,1961,12832,1961,314944,1961,19545,1961,104789,1961,23327,1961,119931,1961,20749,1961,1361749,1961,6937,1961,340085,1961,250832,1961,3093838,1961,120692,1961,858960,1961,15420,1961,154763,1961,36414,1961,2898735
1960,41442,1960,899857,1960,46565,1960,404939,1960,69936,1960,227460,1960,13425,1960,307836,1960,22110,1960,90994,1960,25629,1960,112158,1960,20514,1960,1301938,1960,7373,1960,328439,1960,189314,1960,2989032,1960,127507,1960,826470,1960,11880,1960,159415,1960,36966,1960,2994711
